X Nao,X MoCap,X Corr
0.1784435511,0.02708,0.0989007721
0.1773369312,0.037802,0.0984000115
0.1767728627,0.047522,0.0979281955
0.1756231338,0.05658,0.0974732308
0.1750377715,0.065322,0.0970201568
0.1744453162,0.073976,0.0965581171
0.173239857,0.082066,0.0961140185
0.170108676,0.089762,0.0956806327
0.1688107997,0.096828,0.0952733521
0.1681524515,0.10359,0.0948751925
0.1668175757,0.110262,0.0944742788
0.1633774042,0.116433,0.0940963487
0.1626726836,0.122438,0.0937220154
0.1619624496,0.128916,0.093310931
0.161247164,0.135823,0.0928643163
0.1036586016,0.143326,0.092369449
0.1029699743,0.151437,0.0918231015
0.1022879928,0.158955,0.0913061406
0.1009446084,0.165778,0.0908281782
0.1002835333,0.171309,0.0904345832
0.0996299013,0.17518,0.0901558464
0.0989836454,0.176888,0.0900320032
0.0983451232,0.17629,0.0900754225
0.0970915183,0.173622,0.0902683561
0.0964767337,0.16972,0.0905482218
0.0958703756,0.165552,0.0908441439
0.0952724591,0.161207,0.0911493092
0.0941024721,0.157328,0.0914188793
0.0935308337,0.154073,0.0916429983
0.0929681957,0.151201,0.0918391652
0.0924149156,0.148472,0.0920241914
0.0913364589,0.14569,0.0922114334
0.0908116847,0.142932,0.0923956873
0.0902966931,0.14036,0.0925662834
0.0897918493,0.138388,0.0926962774
0.0888126194,0.13667,0.0928089581
0.0883386135,0.135478,0.0928868278
0.0878751576,0.134719,0.0929362778
0.0869805962,0.134169,0.0929720465
0.0865495875,0.133413,0.0930211235
0.0861299783,0.132327,0.0930914432
0.0857215747,0.130792,0.0931904747
0.0849393383,0.128462,0.0933399869
0.0842039287,0.124584,0.0935866687
0.0835164785,0.119077,0.0939323283
0.0828779489,0.113189,0.0942958739
0.0825775415,0.107055,0.0946679826
0.0822896212,0.100889,0.0950352181
0.0820146203,0.094698,0.0953970689
0.0815034434,0.088339,0.0957615684
0.081267491,0.082277,0.0961022784
0.0810447037,0.076048,0.0964454955
0.0808355212,0.06999,0.0967726026
0.0806397498,0.063061,0.0971386549
0.0804576725,0.056116,0.0974968949
0.0802893117,0.050001,0.0978051458
0.0801348537,0.044014,0.0981004344
0.0799944401,0.038742,0.0983551248
0.0798681378,0.033833,0.098587788
0.0796581954,0.029032,0.098811144
0.0795748085,0.024442,0.0990208107
0.0795059726,0.019474,0.0992434776
0.0794146657,0.01424,0.0994732689
0.0793983117,0.009101,0.0996940998
0.0794057995,0.004421,0.0998910779
0.0794388652,0.000464,0.1000545546
0.0794993937,-0.002991,0.1001949911
0.0797056854,-0.005964,0.1003141186
0.0800292641,-0.008096,0.1003985694
0.0802354068,-0.009682,0.1004608628
0.0804711729,-0.010543,0.100494491
0.0807360858,-0.011192,0.100519751
0.0810302123,-0.011799,0.1005433079
0.081352964,-0.012328,0.1005637837
0.0817041099,-0.0126,0.1005742923
0.0824899524,-0.012679,0.1005773419
0.0829234943,-0.012631,0.1005754891
0.0833835453,-0.012529,0.1005715505
0.0838695168,-0.012855,0.100584132
0.0843810067,-0.013246,0.1005991969
0.0849172175,-0.013419,0.1006058537
0.0854775608,-0.013709,0.1006170004
0.0860615522,-0.014279,0.1006388654
0.0866685212,-0.014903,0.1006627349
0.0879486576,-0.015724,0.1006940335
0.0886205956,-0.016772,0.10073381
0.0893126279,-0.017887,0.1007759127
0.0907546356,-0.018778,0.1008093965
0.091503188,-0.019471,0.1008353408
0.0922690108,-0.019879,0.100850575
0.0930512622,-0.019579,0.1008393763
0.0938492715,-0.018738,0.1008078963
0.0946621224,-0.017382,0.1007568714
0.0963292941,-0.015571,0.10068821
0.0971819237,-0.013729,0.1006177686
0.0989206731,-0.012133,0.1005562417
0.0998051465,-0.01086,0.1005068386
0.1006982774,-0.009777,0.1004645797
0.1015993431,-0.008796,0.100426119
0.1034214944,-0.00808,0.1003979387
0.1034214944,-0.00755,0.1003770196
0.1052635908,-0.007389,0.1003706549
0.1061896905,-0.007705,0.1003831426
0.1071179509,-0.008379,0.1004097179
0.1080472842,-0.009224,0.1004429203
0.1099048704,-0.010438,0.1004903971
0.1108311787,-0.011784,0.1005427265
0.1126736477,-0.013057,0.1005919183
0.1144958138,-0.014238,0.1006372946
0.1153966412,-0.015048,0.1006682715
0.1171722189,-0.015503,0.1006856204
0.1180451736,-0.015982,0.1007038441
0.1197555885,-0.016369,0.1007185376
0.120591104,-0.016835,0.1007361948
0.1214122251,-0.017375,0.1007566071
0.1222177967,-0.01813,0.1007850588
0.123006925,-0.01907,0.1008203388
0.1245313138,-0.020444,0.100871622
0.1273388565,-0.021997,0.1009291779
0.129203707,-0.0237,0.1009917946
0.1303191632,-0.025496,0.1010572662
0.1308360398,-0.027467,0.1011284502
0.1313245744,-0.02978,0.1012110954
