Format Version,1.21,Take Name,PiernaI,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-09 10.31.32.923 AM,Total Frames in Take,751,Total Exported Frames,189,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Head,Head,Head,RArm,RArm,RArm,RLeg,RLeg,RLeg,LLeg,LLeg,LLeg,Torso,Torso,Torso,LArm,LArm,LArm
,,"8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E35706F"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
129,4.300000,-0.187884,1.692403,-0.232484,-0.110046,0.835729,-0.502689,-0.098304,0.090943,-0.236577,-0.252503,0.219779,0.042657,-0.160043,1.126600,-0.224226,-0.070448,0.855054,0.078963
130,4.333333,-0.189282,1.692020,-0.229894,-0.112315,0.836203,-0.502018,-0.098328,0.090962,-0.236473,-0.241240,0.208903,0.055970,-0.161039,1.126450,-0.220394,-0.069771,0.854758,0.081032
131,4.366667,-0.190288,1.691742,-0.227357,-0.114394,0.836460,-0.500815,-0.098356,0.090875,-0.236284,-0.230457,0.198480,0.069099,-0.161920,1.126427,-0.216341,-0.069685,0.854918,0.083773
132,4.400000,-0.190842,1.691752,-0.224652,-0.116558,0.836719,-0.499309,-0.098411,0.090868,-0.236148,-0.219923,0.187505,0.082138,-0.163333,1.126429,-0.211816,-0.069923,0.855081,0.087398
133,4.433333,-0.190977,1.692009,-0.221699,-0.118420,0.836842,-0.497082,-0.098425,0.090864,-0.236008,-0.209721,0.176091,0.095010,-0.164998,1.126339,-0.206766,-0.070555,0.855295,0.091918
134,4.466667,-0.190785,1.692606,-0.218165,-0.120622,0.837036,-0.494268,-0.098465,0.090899,-0.235893,-0.200576,0.165002,0.107250,-0.166339,1.126164,-0.201448,-0.071784,0.855442,0.096995
135,4.500000,-0.190509,1.693310,-0.213936,-0.122237,0.836892,-0.490382,-0.098465,0.090893,-0.235726,-0.192019,0.153432,0.118923,-0.167997,1.126181,-0.195613,-0.073638,0.855774,0.102298
136,4.533333,-0.190377,1.693978,-0.208832,-0.123781,0.836610,-0.485559,-0.098491,0.090903,-0.235611,-0.184532,0.141775,0.130156,-0.169716,1.126066,-0.189495,-0.076356,0.856371,0.107676
137,4.566667,-0.190483,1.694607,-0.202962,-0.125603,0.836530,-0.480089,-0.098496,0.090938,-0.235475,-0.178020,0.130976,0.141952,-0.171427,1.125796,-0.183044,-0.078839,0.856640,0.113517
138,4.600000,-0.190769,1.695168,-0.196246,-0.127425,0.836558,-0.473966,-0.098505,0.090950,-0.235322,-0.172794,0.121558,0.153575,-0.173168,1.125340,-0.175768,-0.080629,0.856634,0.120642
139,4.633333,-0.191456,1.695490,-0.188664,-0.129270,0.836585,-0.466952,-0.098672,0.091029,-0.235238,-0.168779,0.113678,0.164434,-0.174665,1.124999,-0.167433,-0.081382,0.856170,0.129200
140,4.666667,-0.192606,1.695564,-0.180271,-0.131342,0.836571,-0.458887,-0.098678,0.091270,-0.235154,-0.165675,0.106349,0.173620,-0.176070,1.124599,-0.158215,-0.081009,0.855733,0.139354
141,4.700000,-0.194003,1.695215,-0.170823,-0.133545,0.836601,-0.449832,-0.098603,0.091395,-0.234978,-0.163293,0.098705,0.180557,-0.177711,1.124161,-0.148353,-0.080979,0.855211,0.149959
142,4.733333,-0.195646,1.694544,-0.160362,-0.135842,0.836357,-0.440054,-0.098534,0.091507,-0.234783,-0.160125,0.093543,0.184687,-0.179511,1.123431,-0.137433,-0.081555,0.854291,0.160466
143,4.766667,-0.197247,1.693734,-0.148702,-0.138338,0.836007,-0.429600,-0.098436,0.091631,-0.234591,-0.154877,0.088811,0.188860,-0.181246,1.122404,-0.125159,-0.082946,0.853241,0.171147
144,4.800000,-0.198844,1.692747,-0.135860,-0.140854,0.835466,-0.418026,-0.098279,0.091800,-0.234337,-0.150350,0.085623,0.191495,-0.183277,1.121300,-0.112096,-0.085065,0.851773,0.181811
145,4.833333,-0.200546,1.691951,-0.121902,-0.143439,0.834917,-0.405564,-0.098142,0.092018,-0.233980,-0.146003,0.084841,0.192026,-0.185254,1.120313,-0.098289,-0.087603,0.849982,0.192594
146,4.866667,-0.202087,1.691566,-0.106897,-0.145967,0.834764,-0.392187,-0.098058,0.092162,-0.233603,-0.142382,0.085130,0.191610,-0.187193,1.119485,-0.083633,-0.090185,0.848561,0.204206
147,4.900000,-0.203597,1.691606,-0.091352,-0.148091,0.834650,-0.377485,-0.098015,0.092281,-0.233254,-0.139844,0.085404,0.191607,-0.188821,1.118771,-0.068237,-0.093460,0.847556,0.216382
148,4.933333,-0.205013,1.691966,-0.075535,-0.150280,0.834643,-0.361996,-0.098049,0.092387,-0.232862,-0.138065,0.085597,0.191687,-0.190503,1.118309,-0.052986,-0.096932,0.847148,0.229091
